Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Raul Neto,1.471382,Brazil,47,25,UTA,39,478,12.3,0.5539999999999999,0.313,0.22399999999999998,1.7,9.4,5.6,23.2,1.2,0.7,16.5,18.3,0.4,0.5,0.9,0.094,-1.7,-1.3,-3.1,-0.1
Rashad Vaughn,1.88904,USA,17,21,TOT,28,212,9.3,0.546,0.6609999999999999,0.107,1.6,9.9,5.8,8.7,1.2,1.2,9.3,13.8,0.1,0.1,0.2,0.05,-1.9,-2.9,-4.7,-0.1
Ramon Sessions,2.328652,USA,56,31,TOT,27,391,10.8,0.473,0.22399999999999998,0.483,1.7,9.1,5.5,26.5,1.8,0.4,17.6,19.2,0.0,0.3,0.3,0.031,-3.2,-2.0,-5.2,-0.3
Rajon Rondo,3.3,USA,21,31,NOP,61,1591,14.9,0.519,0.303,0.094,2.0,14.4,8.4,41.6,1.8,0.5,22.6,16.8,1.7,1.5,3.2,0.095,-0.6,-0.9,-1.5,0.2
Quinn Cook,0.1,USA,62,24,GSW,29,597,13.4,0.6,0.41,0.102,1.6,10.1,6.2,16.7,0.9,0.1,10.8,17.7,1.0,0.4,1.4,0.11,0.7,-2.7,-2.0,0.0
Quincy Pondexter,3.853931,USA,26,29,CHI,23,196,4.0,0.39799999999999996,0.449,0.34700000000000003,4.2,10.7,7.4,6.3,2.0,0.9,16.3,15.0,-0.3,0.1,-0.2,-0.046,-6.1,-0.6,-6.6,-0.2
Quincy Acy,1.709538,USA,37,27,BRK,66,1270,7.5,0.51,0.797,0.17300000000000001,3.1,17.2,10.1,5.9,1.1,1.6,14.1,14.3,-0.4,1.0,0.6,0.024,-2.5,-0.3,-2.8,-0.2
Paul Zipser,1.312611,Germany,48,23,CHI,54,824,5.2,0.444,0.47,0.111,1.6,15.9,8.5,8.0,1.2,1.6,14.9,15.2,-1.2,0.6,-0.6,-0.033,-5.5,-0.3,-5.8,-0.8
Paul Millsap,31.269231,USA,47,32,DEN,34,1008,18.2,0.564,0.258,0.36,6.3,18.3,12.3,14.6,1.9,3.3,12.9,22.4,1.5,1.0,2.5,0.12,0.6,0.8,1.4,0.9
Paul George,19.508958,USA,10,27,OKC,76,2779,18.4,0.5660000000000001,0.447,0.3,2.7,15.0,8.7,14.7,2.8,1.2,12.3,25.6,4.5,3.8,8.3,0.14300000000000002,2.3,0.1,2.4,3.1
